index;x;y;z
0;-0.063049;1.016052;0.120316
1;-0.051392;0.993530;0.128830
2;-0.053696;0.992828;0.116455
3;-0.051910;0.994247;0.116318
4;-0.060913;0.989197;0.114349
5;-0.064468;0.989975;0.126831
6;-0.054398;0.988495;0.129013
7;-0.049759;0.988983;0.108231
8;-0.051178;0.993149;0.110275
9;-0.037949;1.000549;0.120911
10;-0.045502;1.002792;0.133972
11;-0.011307;1.004807;0.141647
12;0.007294;0.993744;0.139481
13;0.008026;0.982376;0.158676
14;0.030426;1.019714;0.129028
15;-0.007248;1.006516;0.115219
16;-0.040283;0.965591;0.097321
17;-0.068542;0.988724;0.125214
18;-0.078659;0.987015;0.098022
19;-0.120377;0.995132;0.100189
20;-0.115753;0.990234;0.129013
21;-0.104050;0.981049;0.116760
22;-0.130310;0.986099;0.102554
23;-0.106110;0.976471;0.130905
24;-0.007339;0.998642;0.133499
25;-0.008240;1.005508;0.128922
26;0.023636;1.006165;0.106216
27;-0.025650;0.990158;0.128281
28;-0.051620;0.999908;0.154633
29;0.061020;1.024994;0.138275
30;0.318680;1.139359;0.062729
31;0.363007;1.910995;0.156815
32;0.180252;1.839691;0.116119
33;1.182800;0.272766;0.840729
34;1.537033;0.084961;-0.264694
35;0.619217;0.679703;0.310303
36;-0.288895;1.579742;0.823730
37;-0.771027;1.498077;0.288651
38;-0.996140;1.554138;-0.267563
39;-1.546692;1.399597;0.132523
40;-0.174255;1.562927;0.806107
41;-0.442581;1.553726;-0.692749
42;-0.248032;0.843063;0.310577
43;-0.122955;0.998260;0.066681
44;0.007172;0.984344;0.144424
45;0.003632;1.013901;0.165985
46;-0.004562;1.146179;0.116608
47;0.151398;1.074005;0.238556
48;0.191238;1.660065;0.221741
49;0.866196;2.482941;0.443344
50;0.639130;2.332855;-0.266983
51;0.030487;1.067459;0.094147
52;0.949585;-0.216995;0.022308
53;0.369644;-0.078018;-0.414917
54;0.434326;0.572586;0.105118
55;-0.106842;1.840515;0.396683
56;-1.098221;2.775375;0.397995
57;-2.854935;2.064056;0.232834
58;-0.498581;1.139877;0.984818
59;-3.232559;1.630920;0.106079
60;-1.007660;0.746368;0.553360
61;-0.132950;1.045746;0.118408
62;-0.047775;0.996460;-0.063217
63;0.196533;1.058746;0.077515
64;0.199799;1.087387;-0.013641
65;-0.132370;1.145660;0.385651
66;0.316833;1.653412;0.085800
67;0.718979;2.165207;0.091278
68;1.201263;2.753723;-0.345673
69;0.072403;1.560974;0.267517
70;0.463303;-0.134384;0.307465
71;0.471161;-0.035980;-0.182480
72;0.463120;0.594894;0.124893
73;0.041290;1.401138;0.511658
74;-0.875107;2.741806;0.883606
75;-2.457153;2.303436;0.257156
76;-2.189178;1.643585;0.767349
77;-5.827133;1.307144;-1.023773
78;-1.587250;1.174026;0.121674
79;-0.347549;0.965591;0.091766
80;0.006027;1.079605;-0.035736
81;0.252274;1.087738;0.040833
82;0.053833;1.045364;0.034241
83;-0.134674;1.006882;0.342804
84;0.279434;1.662994;0.002777
85;0.788269;2.162231;0.231384
86;1.367676;2.840637;-0.338776
87;0.185181;1.731277;0.422165
88;0.431702;-0.076370;-0.017456
89;0.490433;0.156479;-0.308807
90;0.299301;0.610367;0.138962
91;0.024460;1.685516;0.397064
92;-1.040359;3.055115;0.321518
93;-2.970306;1.972595;0.390518
94;-1.960327;1.499390;1.247330
95;-3.119400;-0.021637;1.097702
96;-1.203506;0.686539;0.717499
97;-0.136307;1.076538;0.002823
98;0.031494;1.014648;0.299164
99;0.450775;1.109146;-0.235596
100;-0.158722;1.075378;0.257797
101;0.038315;1.179306;0.217941
102;0.401871;1.786789;0.406952
103;1.400620;2.445450;0.078979
104;-0.008865;2.605942;-0.468475
105;0.249588;0.285400;-0.295792
106;1.257263;-0.276459;-0.193436
107;0.765900;0.292130;0.015671
108;0.107727;1.027420;0.350723
109;-0.460739;2.247513;0.677795
110;-1.145523;2.786499;0.062546
111;-3.348526;1.943588;0.069794
112;6.945557;4.894196;1.999512
113;1.698547;0.768860;-1.097000
114;-0.636185;0.946747;0.365631
115;0.308182;1.042755;-0.300201
116;-0.038055;1.135269;0.344711
117;0.150223;1.120895;0.086273
118;-0.038330;1.135300;0.159744
119;0.258194;1.495331;0.288437
120;0.857605;2.087799;0.169281
121;0.705933;2.747299;0.169189
122;0.111237;1.631760;0.198761
123;0.644775;0.036789;-0.057053
124;0.031387;0.253494;-0.258636
125;0.366043;0.660385;0.108337
126;0.094925;1.438904;0.431534
127;-0.946228;2.635513;0.564148
128;-2.265152;2.363739;-0.168411
129;-2.592789;1.540894;0.347321
130;-4.125946;1.664551;-2.839005
131;-0.864029;0.894318;-0.447906
132;-0.681122;0.997238;0.286667
133;0.103714;1.078888;-0.309479
134;0.405914;1.100433;0.144531
135;0.155121;1.030396;0.082520
136;-0.094162;1.086349;0.305801
137;0.340775;1.596344;0.241913
138;0.994537;2.197815;0.102539
139;0.157867;3.118698;-0.433884
140;0.294174;1.188736;-0.238159
141;1.189590;-0.355438;0.121780
142;0.429276;0.272415;-0.113815
143;0.093506;0.976349;0.302795
144;-0.254852;2.036758;0.550369
145;-1.141708;2.684067;0.538101
146;-2.830109;1.737793;0.089645
147;-1.620422;1.485596;0.436234
148;-6.697906;1.562225;-1.717407
149;-1.407715;0.704544;-0.080734
150;-0.408920;0.990723;0.126663
151;0.083771;1.122910;-0.280472
152;0.335449;1.039169;-0.000793
153;0.174728;0.985062;-0.076324
154;-0.086166;1.148117;0.486420
155;0.308060;1.777054;0.313873
156;1.261337;2.365219;0.160217
157;-0.586700;2.898178;-0.356552
158;0.492477;1.101471;-0.485367
159;1.137650;-0.398605;0.190186
160;0.224426;0.137695;-0.197357
161;0.297134;0.574310;0.067047
162;0.019119;1.468033;0.368149
163;-1.223648;2.961823;0.478745
164;-2.928207;2.181366;-0.026627
165;-1.932159;1.503708;0.587753
166;-7.420074;2.740295;-2.122589
167;-2.284714;1.256897;0.257156
168;-0.449799;0.922882;0.113998
169;-0.150635;1.113586;-0.084198
170;0.379318;1.067398;0.070312
171;0.088913;1.055679;-0.017105
172;-0.150711;1.188004;0.414764
173;0.408356;1.750565;0.282166
174;1.464355;2.440994;0.196991
175;-1.546982;2.981949;-0.735596
176;0.986115;0.206177;-0.646469
177;1.653519;-0.372620;-0.017899
178;0.981979;0.164139;0.004807
179;0.228714;0.872299;0.326508
180;-0.092392;2.024292;0.444168
181;-0.826859;2.891266;-0.100922
182;-3.196152;1.918289;0.579071
183;-1.613419;1.413788;0.996124
184;-2.190796;0.306259;1.530853
185;-0.735687;0.523514;0.812561
186;-0.086044;1.126221;-0.063019
187;-0.066666;1.073227;0.211777
188;0.204895;1.011887;0.012268
189;0.136292;1.071564;-0.065506
190;-0.164566;1.162369;0.503586
191;0.367493;1.855667;0.264465
192;1.448273;2.362808;0.016479
193;-0.776535;2.656433;-0.135986
194;0.413086;0.678177;-0.575287
195;1.071899;-0.257736;-0.040237
196;0.490189;0.127533;-0.033005
197;0.207260;0.629456;0.171371
198;0.090332;1.658783;0.212372
199;-1.356094;2.842270;0.275284
200;-3.117020;1.987808;0.394897
201;0.224670;1.086441;1.904312
202;-0.712082;0.591370;1.381546
203;-0.855865;0.790970;1.025757
204;0.013702;1.110184;-0.131348
205;-0.119507;1.123993;0.296036
206;-0.010345;0.930649;0.113205
207;0.116409;1.077560;-0.098770
208;-0.114105;1.259186;0.530060
209;0.339142;1.756744;0.195282
210;1.393890;2.332855;-0.059143
211;-0.876389;2.769150;-0.389191
212;0.595795;0.605392;-0.438416
213;0.826569;-0.245010;0.032150
214;0.543457;0.112274;-0.116928
215;0.272141;0.657303;0.161316
216;-0.002792;2.091370;0.286102
217;-1.055923;2.779694;0.425049
218;-3.175156;1.836365;0.566269
219;-0.221710;1.180817;0.944122
220;-3.036942;0.455338;0.523529
221;-1.466354;0.661072;0.722748
222;-0.167023;1.012222;-0.039368
223;-0.026321;1.138443;0.174957
224;0.242554;0.952744;-0.060806
225;0.106049;1.095123;-0.137283
226;-0.157623;1.167099;0.549301
227;0.337143;1.778030;0.054245
228;1.110321;2.303345;0.089615
229;-0.071838;2.625412;0.398682
