index;x;y;z
0;-0.149216;0.985901;0.057251
1;-0.140732;0.990067;0.064270
2;-0.142715;0.988174;0.068024
3;-0.139343;0.990250;0.061203
4;-0.141174;0.989868;0.064529
5;-0.141037;0.988922;0.064804
6;-0.135483;0.989090;0.061264
7;-0.139191;0.987167;0.066025
8;-0.140488;0.988098;0.063950
9;-0.133728;0.993927;0.059509
10;-0.144760;0.993469;0.061676
11;-0.147903;0.985809;0.059036
12;-0.143021;1.010956;0.074600
13;-0.148834;0.980927;0.073563
14;-0.121780;0.989471;0.050003
15;-0.132538;0.982834;0.062561
16;-0.119232;0.998413;0.064148
17;-0.136215;0.986481;0.053635
18;-0.135040;0.990540;0.057251
19;-0.138657;0.989487;0.067734
20;-0.148071;0.982452;0.067490
21;-0.139786;0.981522;0.068024
22;-0.149948;0.979446;0.070114
23;-0.144104;0.983887;0.069809
24;-0.144852;0.987732;0.076370
25;-0.136948;0.990005;0.074142
26;-0.137024;0.997421;0.084290
27;-0.131638;0.994247;0.088394
28;-0.112320;1.005676;0.092255
29;-0.118713;0.995026;0.077759
30;-0.116592;0.992279;0.086182
31;-0.110428;0.990646;0.091171
32;-0.111542;0.983047;0.088593
33;-0.118881;0.988068;0.088440
34;-0.113693;0.979355;0.074478
35;-0.105301;0.996674;0.086197
36;-0.119812;0.990433;0.082642
37;-0.113708;0.995743;0.076202
38;-0.120544;0.983215;0.092056
39;-0.134277;0.975510;0.102188
40;-0.115845;0.992188;0.094360
41;-0.127243;0.989273;0.092834
42;-0.118668;0.984039;0.084854
43;-0.108749;0.988907;0.081421
44;-0.120377;0.991806;0.099411
45;-0.111267;0.995926;0.106262
46;-0.104233;0.991013;0.104538
47;-0.109802;0.995865;0.108337
48;-0.098328;1.002930;0.106552
49;-0.110657;0.990433;0.113052
50;-0.123932;0.988647;0.118134
51;-0.096985;0.986847;0.120377
52;-0.087708;0.991348;0.114090
53;-0.072327;0.994247;0.113525
54;-0.064621;0.997467;0.113022
