index;x;y;z
0;0.089722;1.006439;-0.000763
1;0.058716;1.004333;-0.009506
2;0.050812;1.001266;0.004120
3;0.054642;1.003616;-0.011093
4;0.065521;1.000412;-0.006882
5;0.063873;0.997757;-0.014114
6;0.055161;0.997284;0.001526
7;0.067093;0.999481;-0.015808
8;0.063263;1.005524;-0.001572
9;0.057617;0.996933;-0.014969
10;0.065063;0.995071;-0.008942
11;0.060471;0.998154;-0.006256
12;0.062225;0.997253;-0.009644
13;0.052002;0.999298;0.000290
14;0.054611;0.995239;-0.003632
15;0.067688;1.001282;-0.010117
16;0.044968;1.003616;0.005127
17;0.063339;1.002640;-0.004211
18;0.067719;1.000320;-0.008652
19;0.040436;0.997742;0.000885
20;0.064697;0.996567;-0.005844
21;0.065811;1.000992;-0.004074
22;0.065933;1.002579;-0.005936
23;0.051590;0.999817;-0.008621
24;0.041412;0.989914;-0.014236
25;0.051620;0.996902;0.000275
26;0.055450;1.010559;-0.004532
27;0.056503;1.015854;-0.003662
28;0.022903;1.017700;0.008972
29;-0.077774;1.058350;0.046906
30;-0.021851;1.119522;0.078110
31;-0.178772;1.083084;0.275497
32;-0.262924;0.925858;0.055191
33;-0.322250;0.936676;-0.041885
34;-0.247543;0.974808;-0.106140
35;-0.192474;1.061966;-0.057159
36;-0.014694;1.054596;0.030304
37;0.033997;1.037308;0.063171
38;0.121002;0.929092;0.031265
39;0.169403;0.935593;0.119003
40;0.085266;0.905563;0.129852
41;-0.040558;0.939056;0.253311
42;-0.846344;1.294937;-0.140976
43;0.075089;1.091965;0.024277
44;0.129822;1.041168;0.086014
45;-0.447220;0.964020;0.401489
46;-0.052094;0.944244;0.365417
47;0.068222;1.028885;0.081070
48;-0.060577;0.890671;0.351883
49;0.018539;0.980316;0.191986
50;0.104843;0.911301;0.236084
51;0.059082;0.920715;0.312317
52;-0.009171;1.052231;0.270935
53;0.071655;0.941437;0.288010
54;-0.021744;0.896515;0.355942
55;0.233749;1.093948;0.251373
56;0.156982;1.103088;0.430634
57;-0.002731;1.028015;0.348862
58;-0.067200;1.242584;0.305359
59;0.037521;0.927948;0.683762
60;-0.068878;0.854294;0.483490
61;-0.488113;0.840302;0.037796
62;-0.251923;0.971283;-0.013672
63;-0.034424;1.070892;-0.105484
64;0.069168;1.076859;-0.137024
65;0.022278;1.130844;-0.109451
66;0.081467;1.073059;-0.108932
67;0.016037;1.045563;-0.086365
68;0.123703;1.022964;0.019058
69;0.265152;0.955948;0.100891
70;0.405365;0.946899;0.030258
71;0.388107;0.988632;-0.174408
72;-0.128204;1.092361;-0.388123
73;0.085236;1.035538;0.197754
74;0.301773;1.267532;0.145004
75;-0.197128;0.960846;0.411102
76;0.057617;0.954727;0.340424
77;-0.045807;0.952789;0.253296
78;0.034042;0.973114;0.224365
79;-0.084976;0.968369;0.220108
80;-0.058411;0.985184;0.227036
81;0.025589;0.988998;0.269821
82;-0.049347;0.986420;0.168777
83;0.039627;0.957947;0.097992
84;0.085495;0.964737;0.132629
85;0.067123;1.028214;0.139755
86;0.068695;0.984711;0.100510
87;-0.011307;0.987564;0.147003
88;0.053650;0.985062;0.121460
89;0.078445;0.984390;0.102859
90;0.087906;0.991989;0.143448
91;0.023300;0.983490;0.128983
92;0.040298;0.990723;0.115051
93;0.041748;0.989120;0.131165
94;0.045258;0.990662;0.113449
95;0.077545;1.002472;0.111954
96;0.054672;0.996475;0.115158
97;0.059708;0.995697;0.117188
98;0.051956;0.990768;0.113403
99;0.064514;0.998093;0.104401
100;0.064392;0.997818;0.121384
101;0.054550;0.990280;0.116882
102;0.062027;0.993286;0.102432
103;0.056458;0.992584;0.105759
104;0.065979;0.996841;0.103317
105;0.062973;0.994705;0.099426
106;0.058762;0.990311;0.118149
107;0.062027;0.995667;0.099701
108;0.069061;0.998062;0.113510
109;0.070084;0.998352;0.115433
110;0.059677;0.996933;0.106583
111;0.059158;0.995010;0.111816
112;0.055267;0.993713;0.114075
113;0.062149;0.999176;0.112839
114;0.063400;0.990158;0.116913
115;0.060913;0.993881;0.112289
116;0.063156;0.988510;0.115997
117;0.059021;0.990295;0.107834
118;0.059662;0.993622;0.106857
119;0.052582;0.990356;0.108566
120;0.058762;0.996750;0.104584
121;0.057953;0.997238;0.113281
122;0.064316;0.996948;0.111328
123;0.078033;0.992889;0.112381
124;0.064041;0.992584;0.108063
125;0.070786;0.994110;0.114105
126;0.066391;0.992538;0.112518
127;0.063644;1.000244;0.115189
128;0.055939;1.015930;0.123657
129;0.066849;0.985291;0.120880
130;0.062546;0.986389;0.096359
131;0.112839;0.997681;0.084061
132;0.060013;0.988525;0.136124
133;0.032837;0.984131;0.116257
134;0.043976;0.977814;0.123016
135;0.085770;0.980713;0.161224
136;0.051483;1.002304;0.152542
137;-0.010529;0.972855;0.327591
138;0.057861;0.992279;0.193771
139;-0.005371;0.943344;0.247528
140;0.068344;0.964005;0.144974
141;0.056595;0.972549;0.199921
142;0.110336;0.975128;0.265488
143;0.203629;1.023819;0.200867
144;0.290817;1.075180;0.166138
145;0.199692;1.216278;0.051529
146;0.189621;1.392792;0.007980
147;-0.132935;1.443115;0.176819
148;-0.768372;1.355728;0.638931
149;0.722076;1.662231;0.563583
150;-0.179382;1.452271;0.134857
151;-0.430298;0.578888;0.214874
152;-0.019348;0.377701;0.387314
153;0.057266;0.471588;0.445694
154;0.143280;0.828461;0.530243
155;0.349640;1.361572;0.739441
156;0.377075;1.556152;0.983917
157;1.496109;1.729462;0.343857
158;1.476242;0.734390;0.746552
159;1.111359;1.155304;-0.006943
160;0.772919;0.913315;1.884476
161;0.334778;1.384842;0.724655
162;0.513199;1.160919;0.007126
163;0.085480;1.043839;-0.070496
164;0.284119;0.976074;0.256149
165;-0.035492;0.915268;0.098862
166;-0.120712;0.837936;0.351959
167;0.195801;1.191376;0.155258
168;-0.126144;1.180054;0.177597
169;-0.080246;1.470123;0.055435
170;-0.377930;1.604019;0.072906
171;-1.359726;1.551010;0.863541
172;0.779465;2.366730;0.662796
173;-0.812897;0.891617;0.357819
174;-0.170654;0.031357;0.273682
175;0.019913;0.366882;0.201523
176;0.135742;0.764328;0.325958
177;0.392899;1.377380;0.441071
178;1.136581;1.789276;0.666855
179;1.583206;1.405807;0.387634
180;2.072388;0.515533;0.376633
181;-3.661713;3.925018;-3.856522
182;3.780472;-0.907516;1.276474
183;-0.066055;0.660126;0.600052
184;0.524261;1.201797;0.163971
185;0.359909;1.024963;0.318436
186;0.199493;1.096542;0.186569
187;-0.033264;0.836182;0.145203
188;0.070541;0.988480;0.124054
189;0.099594;1.162155;0.077576
190;-0.043381;1.408676;0.030762
191;-0.519104;1.868393;0.345688
192;-0.573990;1.955261;0.872223
193;-0.208130;2.480011;0.355392
194;-0.647446;0.274902;0.308853
195;0.082642;0.326691;0.299927
196;0.042191;0.618164;0.332809
197;0.322510;1.279053;0.550156
198;0.850021;2.216644;0.924637
199;1.572617;1.640213;1.050323
200;2.071899;0.698425;0.952942
201;0.674942;2.220551;-0.753632
202;1.764496;2.188248;-0.335022
203;-1.055481;0.949646;1.330612
204;0.516495;1.198822;0.148117
205;0.323059;1.045486;0.261292
206;0.021530;1.082809;-0.030960
207;-0.305008;0.772888;0.262436
208;0.283081;1.266663;0.230225
209;-0.076569;1.149246;0.073730
210;-0.253326;1.704865;-0.113953
211;-1.298798;1.820404;0.210236
212;0.553268;2.215851;0.720993
213;-0.246567;2.055893;0.282837
214;-0.653473;0.515121;0.283463
215;-0.029480;0.112595;0.265366
216;0.035339;0.399139;0.287628
217;0.028030;0.993393;0.494171
218;0.512680;2.001434;1.112625
219;1.484070;2.044891;1.165848
220;2.046570;0.767014;0.908188
221;1.783295;0.734177;0.285706
222;1.777710;-1.031326;3.270126
223;0.907242;2.202316;0.337646
224;0.459122;1.154678;0.191071
225;-0.129486;1.120285;0.109207
226;0.290924;0.892578;0.158051
227;-0.301056;0.906128;0.287857
228;-0.087402;0.947495;0.355728
229;0.099106;1.159607;0.122589
230;0.027237;1.228699;0.215240
231;-0.151443;1.510345;0.043137
232;-0.634323;1.657211;0.220322
233;-0.703522;1.535568;0.757141
234;0.489090;2.395569;0.878906
235;-0.456711;1.028839;0.544388
236;-0.320023;0.037827;0.008774
237;0.074402;0.421753;0.013870
238;0.017349;0.791443;0.120560
239;0.535049;1.787766;0.304626
240;1.284805;2.361847;0.845230
241;2.050644;1.010406;0.799408
242;1.941971;0.594864;0.805984
243;-2.678879;0.270157;0.459930
244;3.041855;-0.294891;0.469254
245;-0.394867;0.908356;0.590576
246;0.015213;1.121979;0.135071
247;0.107330;1.012772;0.401276
248;-0.289581;0.941299;0.297424
249;-0.060287;0.874130;0.330246
250;0.250641;1.245605;0.133835
251;0.002579;1.247940;0.164978
252;-0.126022;1.609116;0.074829
