index;x;y;z
0;0.125031;0.929291;-0.450211
1;0.059021;0.888687;-0.437500
2;0.054169;0.902924;-0.444565
3;0.079834;0.900742;-0.456940
4;0.070404;0.883850;-0.456696
5;0.062668;0.897171;-0.449142
6;0.067596;0.884109;-0.462234
7;0.077789;0.894974;-0.454865
8;-0.210602;0.422958;-0.358551
9;0.016052;1.093842;-0.641708
10;0.070435;0.898514;-0.578720
11;0.038345;0.880432;-0.465164
12;0.040955;0.870819;-0.455978
13;0.069855;0.878677;-0.490158
14;0.062958;0.881714;-0.477737
15;0.050476;0.861237;-0.456360
16;0.033371;0.879807;-0.448181
17;0.075104;0.885544;-0.489014
18;0.034607;0.907028;-0.485138
19;-0.042694;0.894089;-0.406296
20;-0.074799;0.882126;-0.431274
21;-0.157944;0.822281;-0.386932
22;-0.395844;0.791107;-0.150574
23;-0.578796;0.837082;0.045746
24;0.023865;1.083664;-0.066437
25;0.881546;1.176422;-0.612244
26;0.056076;1.017380;-0.249222
27;0.131210;1.085526;-0.287140
28;0.142776;1.055984;-0.170029
29;-0.029251;1.021835;-0.035583
30;0.052826;1.040237;-0.071503
31;0.044693;0.995178;-0.017868
32;0.092300;0.990219;0.040512
33;0.115768;0.947327;0.020721
34;0.192230;0.943558;0.051254
35;0.251587;0.912979;0.102219
36;0.303284;0.917084;0.060577
37;0.307434;0.976349;0.012512
38;0.267944;1.005951;0.124084
39;0.070831;1.054932;0.076370
40;0.318619;1.029572;0.235901
41;1.073090;1.366043;-0.429794
42;0.563583;0.791641;0.730515
43;-0.897430;0.980728;0.534592
44;-0.107346;1.069672;-0.154434
45;-0.184570;0.971344;0.224014
46;-0.088440;0.962280;0.248642
47;0.066391;1.032059;0.254272
48;-0.067505;0.982666;0.227066
49;-0.027847;0.978516;0.204544
50;-0.027191;1.020477;0.277634
51;-0.199875;1.005341;0.208923
52;-0.055237;0.981552;0.239227
53;-0.029404;1.084625;0.078354
54;0.131866;1.148300;0.004333
55;-0.332840;1.614120;0.126495
