index;x;y;z
0;-0.218216;0.918411;-0.387726
1;-0.231979;0.889359;-0.394623
2;-0.229858;0.897995;-0.378662
3;-0.209503;0.889984;-0.412140
4;-0.238113;0.900818;-0.390457
5;-0.200272;0.879929;-0.391708
6;-0.229095;0.908249;-0.387833
7;-0.240479;0.878052;-0.367615
8;-0.151123;1.169800;-0.624268
9;-0.231476;0.919525;-0.407059
10;-0.210373;0.879074;-0.412766
11;-0.199799;0.914612;-0.413483
12;-0.210754;0.930573;-0.375916
13;0.027740;0.966003;-0.339951
14;0.047409;1.047745;-0.345749
15;-0.015900;0.923615;-0.407471
16;-0.034790;0.919983;-0.443390
17;-0.111435;0.879517;-0.444672
18;-0.150925;0.890610;-0.403687
19;-0.088104;0.956543;-0.394821
20;-0.141541;0.965347;-0.308395
21;-0.259506;0.944870;-0.305801
22;-0.235611;0.889771;-0.265823
23;0.027054;1.051743;-0.289352
24;0.106842;0.826752;-0.452744
25;0.024216;0.866913;-0.380768
26;0.246979;0.971985;-0.272797
27;0.131927;0.986389;-0.328537
28;0.222107;0.897263;-0.276764
29;0.264832;0.986664;-0.227264
30;0.223434;0.945221;-0.232529
31;0.253342;0.965805;-0.119385
32;0.262344;0.992676;-0.116211
33;0.203629;1.001450;-0.060699
34;0.239670;0.974091;-0.058380
35;0.134094;1.047440;-0.085999
36;0.003220;1.099655;-0.163010
37;0.067810;1.233597;0.060013
38;-0.077591;1.200226;0.112595
39;0.342972;0.846573;-0.327606
40;0.769180;1.078156;-0.274567
41;-0.194839;0.791885;-0.092300
42;-0.374435;0.843170;-0.047516
43;-0.022873;0.944412;-0.088989
44;0.263687;1.086258;-0.077438
45;0.308701;1.058350;0.075775
46;0.231888;0.935745;0.316635
47;0.471924;0.888412;0.480637
48;0.821289;0.894287;0.841400
49;-0.621429;1.224274;0.483276
50;0.451080;1.103241;-0.317001
51;0.069138;0.989319;0.060410
52;-0.080383;1.023727;0.010178
53;0.021820;1.000870;0.012131
54;0.019684;0.999588;0.023178
55;0.071701;1.022842;0.040421
56;0.056290;1.004440;0.081421
57;0.067062;1.033020;0.025085
58;-0.002228;0.983826;0.043503
59;-0.013962;0.948273;0.074936
60;0.067810;1.002090;0.056076
61;0.052536;0.987289;0.152496
62;0.081696;0.993622;0.079208
63;0.042007;0.979309;0.161179
64;0.097885;1.019699;0.004196
65;0.166702;1.133209;0.134506
66;0.204208;1.437531;0.282150
67;0.103531;1.424240;0.271744
68;0.186737;1.135193;-0.058411
69;1.756195;1.188705;-0.174011
70;0.363266;1.026825;0.082108
71;0.259735;0.432571;0.013779
72;0.113647;0.328903;0.044174
73;0.013000;0.394623;0.092407
74;0.063080;0.511658;0.157990
75;0.098495;0.725540;0.338470
76;0.305435;1.039459;0.492233
77;0.509552;1.268707;0.578598
78;0.702560;1.384399;0.259033
79;0.457169;1.252609;0.079987
80;0.780579;1.067368;0.018250
81;0.465027;1.265961;-0.238312
82;-0.648041;1.187149;-0.188126
83;0.181274;1.018433;0.430496
84;-0.154053;0.983246;0.020432
85;0.123108;1.119476;0.054657
86;-0.064697;1.004440;-0.019180
87;-0.034485;1.010223;-0.031021
88;-0.118484;0.954269;-0.059143
89;-0.030670;0.993942;-0.044128
90;-0.172348;0.983047;-0.050034
91;-0.165329;1.001099;0.007523
92;-0.032669;1.062439;0.001434
93;-0.043854;1.012207;0.097565
94;0.158340;0.958832;0.073685
95;0.245682;1.090836;-0.020233
96;-0.050751;1.063385;-0.049088
97;0.016830;1.037338;0.012604
98;0.665726;1.036789;0.230270
99;0.236328;0.867477;0.266541
100;0.109695;0.831726;0.493973
101;-0.056290;0.873947;0.470047
102;0.039429;0.926926;0.448288
103;0.150467;1.029282;0.355011
104;0.024948;1.014160;0.322739
105;-0.046692;1.014984;0.310776
106;0.009857;0.946869;0.245712
107;0.004196;0.888000;0.241119
108;0.103409;0.934326;0.219147
109;0.559448;0.937943;-0.027908
110;-0.155533;0.740494;0.049820
111;0.752838;1.080887;-0.227615
112;-0.204315;0.979660;-0.398056
113;0.191528;1.110504;0.596344
114;0.421371;1.284409;0.075119
115;-0.182251;1.089172;0.010910
116;0.402481;0.953262;0.060684
117;0.180161;0.980728;0.180939
118;0.130676;0.952011;0.133102
119;0.065094;0.964493;0.173187
120;-0.066132;0.990860;-0.011063
121;0.000824;1.018250;0.003738
122;0.199280;0.937683;0.068741
123;0.229675;0.998962;0.141083
124;0.182724;0.950211;0.039291
125;0.100082;1.004761;0.126785
126;0.218109;0.997650;-0.022522
127;0.103821;0.927216;0.183105
128;0.199829;0.982605;0.002014
129;0.068008;0.949356;-0.122955
130;0.099197;1.022797;0.116409
131;0.116928;0.984161;0.116180
132;0.020065;1.008667;0.084549
133;0.167419;1.009201;0.256790
134;0.140060;1.063400;0.158707
135;0.145340;1.178619;0.234772
136;-0.192047;1.857193;0.305908
137;0.338699;1.590408;0.096970
138;2.405243;2.208679;-0.372971
139;-0.891495;0.965042;-0.286255
140;-0.311829;0.190094;-0.206406
141;-0.803680;0.016724;0.080292
142;-0.284134;0.357346;0.000275
143;0.440399;0.814041;0.064713
144;0.985962;1.813980;-0.096832
145;2.760223;1.577454;-0.388412
146;1.552658;0.605240;-0.419968
147;-1.040039;2.576202;1.443512
148;0.315918;0.337723;1.170761
149;-0.057205;1.284454;0.047791
150;-0.027176;1.002762;0.203781
151;0.277237;1.014542;0.094757
152;-0.073441;0.935501;0.100296
153;-0.088470;0.963562;-0.044861
154;0.480957;0.748901;-0.068878
155;0.422012;0.946655;-0.065186
156;0.016357;0.899460;-0.099152
157;0.133179;1.515686;0.051346
158;0.263000;1.930435;0.559784
159;1.014374;0.433624;-0.719574
160;-0.862900;0.135315;0.107712
161;-0.009384;0.851639;0.215652
162;1.306458;1.215088;-0.528839
163;0.893860;1.129456;0.141357
164;0.112671;1.089249;-0.276474
165;1.123840;1.168213;-1.490982
166;-0.951721;0.869537;-0.862335
167;-0.051559;1.146088;0.923370
168;0.706619;1.011139;-0.233994
169;-0.440262;0.797806;0.099777
170;0.286987;1.111298;0.069382
171;-0.164108;0.963272;0.126480
172;0.112701;0.997452;0.122742
173;-0.040436;0.949814;0.100052
174;0.064621;1.037247;0.030746
175;-0.091705;0.963882;0.110260
176;-0.061203;1.017273;-0.021927
177;-0.024796;1.008881;0.200699
178;0.047745;1.017654;0.221832
179;0.121796;1.000168;0.115494
180;0.028214;0.941040;0.194473
181;-0.092880;0.943695;0.200516
182;0.080414;0.990860;0.425858
183;-0.024490;0.943726;0.353973
184;-0.201279;0.916748;0.262039
185;-0.062988;0.979797;0.271591
186;-0.127716;0.958908;0.360229
187;-0.124054;0.935471;0.295792
188;-0.163513;0.960022;0.260071
189;-0.162933;0.944656;0.186966
190;-0.128372;0.957199;0.230347
191;-0.220947;0.960648;0.252487
192;-0.185181;0.963974;0.295670
193;-0.195053;0.954559;0.216309
194;-0.194672;0.962036;0.202927
195;-0.187469;0.960358;0.159134
196;-0.181076;0.952881;0.208160
197;-0.206146;0.970581;0.220734
198;-0.137100;0.970200;0.198547
199;-0.163986;0.953430;0.171646
200;-0.172379;0.977814;0.167679
201;-0.157135;0.984161;0.167542
202;-0.182755;0.967621;0.159927
203;-0.144196;0.975662;0.153168
204;-0.182037;0.973877;0.149155
205;-0.139984;0.975189;0.179764
206;-0.168411;0.979218;0.164154
207;-0.138519;0.976791;0.158279
208;-0.150940;0.977249;0.184860
209;-0.144150;0.965942;0.180725
210;-0.179749;0.969757;0.165955
211;-0.185699;0.975266;0.161194
212;-0.167679;0.965286;0.150818
213;-0.189667;0.971970;0.121460
214;-0.163086;1.007599;0.182205
215;-0.099777;1.001190;0.175644
216;-0.198593;0.940857;0.116089
217;-0.094772;0.985565;0.141907
218;-0.128815;0.979080;0.147400
219;-0.127411;0.975220;0.141541
220;-0.213608;0.988495;0.130035
221;-0.239029;1.005753;0.210419
222;-0.189896;1.078323;0.151962
223;-0.126938;1.014481;0.210464
224;-0.107391;0.976562;0.323914
225;-0.482025;0.767319;0.245987
226;-0.488113;0.840607;0.251144
227;-0.177277;0.954300;0.133347
228;0.060501;0.956177;0.104828
229;0.470932;0.841995;0.109314
230;0.092056;1.627548;-0.057281
231;-0.704651;1.118118;0.864319
232;0.325989;0.860275;-0.252899
233;0.050644;1.132141;0.407654
234;0.001572;0.979675;0.043350
235;-0.103165;1.002060;-0.018219
236;0.060730;1.015717;-0.009171
237;-0.090103;1.002640;0.031097
238;-0.050095;0.997589;-0.000397
239;-0.092056;0.969742;0.027771
240;-0.077728;0.991058;-0.000717
241;-0.076309;0.985962;-0.019348
242;-0.079575;1.177460;0.006393
243;-0.095413;1.981735;0.249191
244;-0.555786;2.139511;0.479889
245;0.673386;0.249573;-0.185822
246;0.239960;0.581909;-0.043915
247;-0.130676;0.217926;0.005066
248;0.102249;0.379623;0.103500
249;0.255234;0.495071;0.237213
250;0.715881;1.010803;0.625626
251;1.257324;0.874176;0.435623
252;0.507690;0.642715;0.376740
253;0.085022;0.914139;0.322433
254;0.554062;0.865570;0.026810
255;0.431702;0.957352;-0.259094
256;-1.303436;2.641113;-2.001801
257;-1.777328;0.317352;-2.798721
258;0.276978;1.362122;-0.626328
259;1.217819;0.338394;0.152283
260;-0.702057;1.179520;0.075485
261;0.308228;1.365128;-0.107880
262;-0.444412;1.359619;-0.448502
263;-0.643204;1.562454;0.301727
264;0.080383;-0.924789;-0.194611
265;-0.333435;0.447311;0.087112
266;-0.671524;-0.013763;0.501389
267;0.763428;1.331924;0.459854
268;0.746628;1.571243;0.660309
269;1.515762;1.373886;-0.048660
270;-0.330811;1.264618;0.153961
271;0.131622;0.722610;-0.141266
272;-0.376236;2.029785;0.158325
273;-1.244461;3.069717;1.017441
274;0.484818;0.058975;-0.187943
275;0.516495;0.732986;-0.261307
276;-0.252533;1.821472;-0.172974
277;-0.231308;1.912170;-0.311630
278;-0.572601;1.658340;0.368759
279;-0.235428;-1.736679;-0.216858
280;-0.450348;0.305649;-0.062531
281;-0.387817;0.100800;0.318954
282;0.274551;1.249069;0.785522
283;1.238602;1.835114;0.743927
284;2.245148;1.555588;-0.097794
285;-0.348511;1.574860;1.028900
286;0.653091;0.793457;-1.068985
287;-1.052567;1.341476;-1.206940
288;-0.121460;1.298737;0.468262
289;-0.023499;0.312454;-0.520004
290;0.492935;0.764893;0.038513
291;-0.057739;1.370529;-0.226166
292;0.126984;1.450333;0.059982
293;-0.472702;2.092270;0.297104
294;-0.129807;0.080688;0.193405
295;-0.272400;0.592010;-0.205490
296;-0.689880;-0.082092;-0.431000
297;-0.481125;1.156265;0.040085
298;0.406357;1.970551;-0.057205
299;0.501022;1.994461;0.274673
300;-0.219574;1.164124;0.258698
301;0.664490;1.256699;0.201065
302;1.057007;0.826614;0.416321
303;-1.264267;3.421463;-0.750854
304;2.173187;-1.284195;-2.518509
305;0.612335;1.787689;0.243683
306;0.280960;1.102859;0.247238
307;-0.011551;0.923294;-0.187927
308;0.057938;1.138672;-0.011047
309;-0.375549;1.261536;0.162582
310;-0.330933;1.369797;0.338013
311;-0.945358;2.021835;0.184067
312;-0.868088;1.612366;-0.211243
313;0.350327;1.648056;-0.492905
314;-0.889709;-0.313492;-0.198380
315;-0.085739;0.749924;0.085815
316;0.023117;0.907745;0.108078
317;-0.028793;1.538956;0.259537
318;1.041824;1.930054;0.220551
319;1.520721;1.374771;0.038208
320;1.559402;1.149872;-0.170746
321;-2.161118;1.140717;0.405289
322;0.498993;1.521561;-0.367966
323;0.645630;0.931046;-0.234848
324;-0.527649;1.201767;0.225876
325;0.267471;1.019241;-0.006805
326;-0.210297;0.901337;-0.031982
327;-0.026001;0.982956;-0.016678
328;-0.110641;0.988525;-0.022125
329;-0.088974;1.054657;0.100677
330;-0.160263;1.193008;0.112640
331;-0.238892;1.697006;0.243820
332;-1.211395;2.519516;0.052795
333;-0.220154;1.464264;0.022202
334;0.622360;1.254791;-0.286499
335;-0.782898;-0.227646;0.016357
336;0.056290;0.606659;-0.032684
337;-0.123184;0.782303;0.061371
338;-0.125839;1.519196;0.204132
339;1.295959;2.341766;0.284225
340;1.243668;1.395203;0.148224
341;1.602737;1.129257;-0.161514
342;-1.557510;1.649872;0.668198
343;-0.079575;1.639160;-0.114914
344;0.610199;0.750870;-0.456497
345;-0.440933;1.165390;0.272812
346;0.278381;1.029144;-0.047531
347;-0.254929;0.981918;0.029755
348;0.111984;0.979507;-0.046021
349;-0.172195;0.939209;0.029114
350;-0.069214;1.027954;0.066483
351;-0.196732;1.024490;0.016205
352;-0.163498;1.149780;0.054321
353;-0.062103;1.641388;0.214279
354;-1.183136;2.508987;0.055817
355;-0.507233;1.167084;0.208603
356;1.048599;1.423782;-0.497818
357;-0.624863;-0.153244;0.007965
358;0.106491;0.503510;-0.067657
359;-0.069183;0.652374;0.049362
360;-0.293365;1.310104;0.058731
361;0.923111;2.758408;0.155930
362;1.380112;1.547943;0.112503
363;1.915558;1.115524;0.117584
364;-1.176132;1.792053;0.667999
365;0.499283;2.097137;-0.241119
366;0.824799;0.071472;-1.224838
367;-0.135391;1.336670;0.034698
368;0.044952;1.102783;0.035187
369;0.053864;0.977325;-0.114929
370;-0.178894;0.959274;-0.128464
371;0.035156;0.975388;0.024246
372;-0.016022;1.030533;-0.056000
373;-0.193436;1.151825;0.013184
374;-0.117920;1.300156;0.256989
375;-0.212875;1.842300;0.294647
376;-1.169357;1.968704;0.530579
377;0.580261;1.550629;-0.797455
378;-0.351593;0.848480;-0.360916
379;-0.770508;0.018539;0.030579
380;0.494583;0.666306;-0.156921
381;-0.344254;0.709808;0.063263
382;0.119202;1.581177;0.194748
383;1.303848;2.162872;0.061157
384;1.328110;1.410233;0.275665
385;2.035034;1.120911;-0.024658
386;-1.044098;1.650696;0.695160
387;0.879929;0.643692;0.527222
388;-0.092300;1.365555;0.285736
389;-0.461166;0.879440;0.182861
390;0.243271;1.115326;0.095581
391;-0.222382;0.939651;0.088013
392;-0.022476;0.999191;0.057938
393;-0.140869;0.909607;0.077545
394;-0.049545;1.059280;0.141235
395;-0.113037;1.197601;0.201645
396;-0.280991;1.339920;0.201904
397;-0.783813;2.397705;0.257141
398;-0.728165;1.326202;0.363495
399;1.494614;0.697525;-0.634125
400;-0.408295;0.125809;-0.242081
401;-0.233322;0.286026;-0.399689
402;0.038666;0.511612;-0.360611
403;-0.422348;1.247025;-0.433762
404;1.100235;2.293365;-0.459244
405;0.817673;1.280273;-0.027283
406;1.251221;1.308701;0.314178
407;1.001587;1.067520;0.234268
408;-1.135849;1.919281;0.057266
409;0.647232;0.526352;0.902359
410;-0.226990;1.714645;0.302048
411;-0.247192;0.784515;0.259689
412;0.547073;1.213181;0.226700
413;-0.152527;0.854660;0.091293
414;0.118134;1.068283;0.216400
415;-0.150284;0.955017;0.087570
416;0.005081;1.074417;0.188477
417;-0.196289;1.304260;0.267548
418;-0.566498;2.267975;0.173828
419;-1.302902;1.626389;0.170319
420;1.480988;0.866776;-0.570816
421;-0.594086;0.090393;-0.386536
422;-0.390167;0.410492;-0.245331
423;0.120804;0.813126;-0.158752
424;-0.331375;1.552429;-0.284500
425;0.975754;2.283630;-0.021622
426;1.186234;1.192337;0.013596
427;1.235565;1.013504;0.049637
428;0.710648;1.449295;0.021347
429;-0.830246;2.432648;-0.606033
430;0.160446;1.103622;1.496506
431;0.518356;0.972122;-0.524139
432;-0.003464;1.068893;0.210846
433;0.167297;1.045959;0.038391
434;-0.062851;0.890533;-0.028305
435;0.128189;0.923737;0.028336
436;-0.101379;0.991043;-0.052811
437;-0.046295;1.123627;0.098953
438;0.058334;1.444901;0.290771
439;-0.458847;2.032318;0.052032
440;-1.497345;2.091812;0.151520
441;0.662781;0.984772;-0.984558
442;0.136017;0.857864;0.034729
443;-0.603058;0.117126;-0.212494
444;0.300003;0.595337;-0.103561
445;-0.282532;0.823059;0.122559
446;0.088074;2.033417;0.451538
447;1.489380;1.568085;0.366547
448;1.437088;1.256485;0.375076
449;1.587540;1.491776;-0.236038
450;-0.399017;1.767502;-0.412613
451;1.356171;-0.168137;-0.190033
452;-0.097305;1.903458;0.711777
453;-0.295761;0.775803;0.045624
454;0.352203;0.990906;-0.169037
455;-0.035965;0.931946;-0.020172
456;0.063904;0.990067;-0.018600
457;0.062790;0.930801;-0.007584
458;-0.070816;0.986847;-0.006912
459;-0.142151;1.163742;-0.022537
460;0.129654;1.466125;0.175125
461;-0.434784;2.223633;0.175537
462;-0.481888;1.665085;0.312576
463;1.422607;0.945908;-0.903198
464;-0.683014;-0.196396;-0.067078
465;0.103973;0.579681;-0.141022
466;0.083588;0.729385;0.031937
467;-0.197021;1.078201;-0.277985
468;1.191971;2.663651;-0.016464
469;1.370758;1.352814;0.048599
470;1.723221;0.869766;-0.187103
471;-0.818985;1.596939;0.534714
472;-0.445847;2.053360;-0.374649
473;0.754074;0.842468;0.451584
474;-0.095428;1.287827;-0.133316
475;0.048981;1.070221;0.031265
476;0.062057;0.974533;-0.081055
477;0.058472;0.923264;-0.060623
478;-0.058899;0.999008;-0.027527
479;-0.009537;1.000793;0.030136
480;-0.094910;1.157578;0.033737
481;-0.071945;1.291138;0.198700
482;-0.245499;2.043777;0.151291
483;-1.316986;2.013351;0.310883
484;0.456009;1.109482;-0.898483
485;0.118073;0.669250;-0.126602
486;-0.696716;0.256485;0.112213
487;0.396652;0.664749;-0.088654
488;-0.101776;0.939041;0.195496
489;-0.182831;1.950928;0.478851
490;1.388855;1.592712;0.414352
491;1.566025;1.308304;0.233200
492;1.719147;1.086685;0.421356
493;-0.796707;1.516617;0.994858
494;0.985992;0.829895;0.240891
