index;x;y;z
0;0.160385;0.984634;-0.144836
1;0.154907;0.969070;-0.065567
2;0.110779;0.964020;-0.046722
3;0.221573;0.979691;-0.090256
4;0.305466;0.984818;0.116409
5;0.317642;0.976395;0.034180
6;0.380768;1.001877;-0.034027
7;0.348221;0.969421;0.120087
8;0.196320;0.934799;0.107697
9;-0.072189;1.031082;0.023178
10;-0.032059;0.966705;0.207489
11;0.113800;1.039963;0.095749
12;-0.076767;0.998352;0.425949
13;-0.018967;1.078644;0.213013
14;-0.035309;1.021042;0.076477
15;-0.147705;0.985016;0.234482
16;-0.335205;0.960831;0.231064
17;-0.323914;0.953705;0.182037
18;-0.295425;1.094727;0.285400
19;-0.134537;1.370041;0.280243
20;0.497635;1.626831;0.135681
21;-1.120728;1.108093;0.717667
22;-0.063126;0.362137;0.225128
23;0.296112;-0.013824;-0.192200
24;-0.074738;0.194458;-0.038269
25;-0.000488;0.527481;-0.111801
26;-0.207230;1.026627;-0.058487
27;-0.273636;1.424179;-0.140900
28;-0.435577;1.959854;-0.124512
29;-0.861160;1.364517;0.199234
30;-0.531860;1.211807;0.182861
31;0.551849;0.524551;0.901779
32;-1.338669;1.077835;0.120789
33;0.077759;0.965561;0.022156
34;-0.366089;0.858032;0.490875
35;0.270706;1.081253;0.064423
36;-0.052017;0.924103;0.468414
37;-0.066833;0.979584;0.177017
38;-0.123688;1.058685;0.235580
39;-0.189682;1.155212;0.236038
40;-0.223526;1.276413;0.320892
41;0.040833;1.490891;0.028900
42;0.586914;1.619720;0.047195
43;-0.248032;2.067368;0.320206
44;-0.614105;0.856873;0.313828
45;0.496613;0.076645;0.140381
46;0.073380;0.150528;0.113968
47;0.062469;0.568665;0.233688
48;-0.111526;1.313156;0.202148
49;-1.073761;1.913025;0.896301
50;-1.481308;1.630493;1.135925
51;-1.107788;1.231674;0.529541
52;1.493225;1.525620;-0.948715
53;-1.520767;0.665817;0.286819
54;-0.526550;0.949738;0.201477
55;0.141617;1.081955;-0.020874
56;0.061615;1.099243;-0.042313
57;-0.046326;1.190704;-0.062241
58;0.062820;1.427734;0.134903
59;0.220490;1.609451;-0.224014
60;0.907394;1.400650;-0.135025
61;0.067108;2.162170;0.475540
62;0.153809;0.607147;0.492798
63;0.233917;0.142624;0.366959
64;0.201614;0.003494;0.397064
65;0.092529;0.496460;0.065155
66;-1.132126;1.905121;-0.321335
67;-2.245544;1.807281;1.672729
68;-1.781281;0.524536;0.554581
69;2.223816;1.901581;-1.658035
70;-1.083481;1.063812;0.651077
71;-0.673859;1.093735;-0.007278
72;0.096100;1.853821;-0.084396
73;1.305130;1.652069;-0.373764
74;0.374695;1.019409;-0.022888
75;0.951920;0.267075;0.578918
76;0.440781;0.328323;0.307129
77;0.210831;0.152542;0.435013
