index;x;y;z
0;-0.050140;1.004593;0.063065
1;-0.062378;0.985382;0.057053
2;-0.057907;1.006439;0.050034
3;-0.073853;0.992325;0.068222
4;-0.073898;1.009491;0.063477
5;-0.072708;0.980743;0.045044
6;-0.081329;1.002319;0.064285
7;-0.080231;0.986084;0.061050
8;-0.086517;0.997391;0.063538
9;-0.074799;0.996826;0.060242
10;-0.080246;0.999481;0.072906
11;-0.058044;1.001999;0.062531
12;-0.066254;1.000504;0.061615
13;-0.071701;1.001205;0.070160
14;-0.074524;0.985580;0.061707
15;-0.067612;1.007919;0.080444
16;-0.073868;0.970825;0.040619
17;-0.052231;1.025055;0.040298
18;-0.137268;0.990952;0.044983
19;-0.117065;0.964294;0.034592
20;-0.175446;1.012329;0.047165
21;-0.005310;1.003571;0.027878
22;0.037354;1.010742;0.002411
23;0.096298;1.025574;0.009064
24;0.074356;1.010391;-0.003342
25;0.078171;0.997787;-0.001068
26;0.023285;0.991501;0.018311
27;0.012741;0.999786;0.036560
28;0.005310;0.989685;0.031494
29;0.002289;1.005020;0.033768
30;-0.035751;0.982788;0.048096
31;-0.033783;1.006042;0.058472
32;-0.039932;1.020111;0.125793
33;0.061172;1.012482;0.161530
34;0.074478;1.071426;0.082611
35;0.009674;0.999130;0.092651
36;-0.083267;1.008759;0.174377
37;0.094040;1.030182;0.050598
38;0.109650;1.015594;-0.093048
39;0.020187;1.043991;-0.136414
40;-0.235703;0.845856;-0.045303
41;-0.119995;0.972076;0.089310
42;-0.262604;0.920807;0.259094
43;-0.254089;0.864090;0.313782
44;-0.193787;0.813217;0.440506
45;0.058380;0.695953;0.537918
46;-0.071793;1.306229;0.226959
47;0.176544;0.821609;0.208771
48;0.257660;1.352707;0.274811
49;0.283646;1.070801;0.294510
50;0.000336;0.953308;0.239395
51;-0.114319;0.883392;0.359467
52;-0.012024;0.978867;0.283890
53;-0.396500;0.837570;0.347290
54;-0.083191;0.972198;0.376633
55;-0.000977;1.106064;0.360123
56;0.107346;1.256317;0.361786
57;-0.266205;1.725037;0.192108
58;-1.032410;1.718353;0.441620
59;0.199951;1.415237;0.304169
60;0.606552;0.204895;0.691071
61;0.009689;0.238205;-0.093216
62;-0.272751;0.464386;0.144318
63;0.141632;0.853760;-0.124527
64;-0.049332;1.323517;0.351791
65;0.513046;2.124969;0.417206
66;2.072861;1.095230;0.222061
67;0.139526;0.879181;0.564575
68;1.306458;1.564301;0.212952
69;0.807053;0.579803;0.899719
70;-0.140091;1.151093;0.501755
71;0.261932;1.067368;0.306305
72;0.144760;1.003448;0.291122
73;0.067780;0.963104;0.284042
74;-0.035934;0.951157;0.243149
75;-0.007980;0.961914;0.229202
76;-0.018967;1.097458;0.231033
77;-0.250992;1.219421;0.535126
78;-0.254150;2.141571;0.397339
79;-0.769745;1.344528;0.947220
80;0.133698;1.010147;-0.005569
81;0.105957;0.201706;0.507233
82;-0.001129;0.524734;0.004288
83;0.284042;0.552536;0.151993
84;0.035599;0.739975;0.106247
85;-0.046814;1.544449;0.569565
86;0.646149;1.859726;0.336304
87;1.981171;1.227493;0.403290
88;0.361740;1.024963;0.693665
89;0.865356;1.371796;-0.150436
90;0.598648;0.412781;0.650269
91;0.013580;1.250488;0.381287
92;0.304367;1.126297;0.283524
93;0.034073;0.977570;0.392288
94;-0.118988;0.938354;0.287964
95;-0.130539;0.822861;0.283478
96;0.037827;0.942108;0.362900
97;-0.028625;0.974487;0.263580
98;-0.079590;0.888870;0.410995
99;0.211716;1.560425;0.304077
100;-0.894058;2.077484;0.279922
101;0.200867;1.360245;0.515320
102;0.970718;0.201126;0.606476
103;-0.174469;0.150223;0.146271
104;0.041824;0.459839;0.060165
